id,start_date,end_date,lat,lon,rooms,bedrooms,bathrooms,surface_total,price,anio,mes,zona_lat,zona_lon,zona,mes_cont
14N/F00tIqiOSPS+Q4IJSg==,2021-01-02,2021-04-26,-34.9123574,-56.1585821,4.0,2.0,1.0,54.0,185500.0,2021,1,1,1,1_1,13
sweEG4JuGTx7ePlPOgYMxg==,2021-01-02,2021-03-03,-34.8969267,-56.1273898,4.0,3.0,1.0,70.0,155000.0,2021,1,1,2,1_2,13
7ojFhUoeW2d7OB6+mM+qsg==,2021-01-02,2021-03-03,-34.878559,-56.1353668,4.0,3.0,1.0,75.0,92000.0,2021,1,2,2,2_2,13
AD6hU2Xv7Lzzhv/hdHMdkg==,2021-01-02,2021-03-03,-34.9031542,-56.1931593,8.0,5.0,4.0,296.0,330000.0,2021,1,1,0,1_0,13
Bs7WbBl5GTWpwhy7fwB95g==,2021-02-03,9999-12-31,-34.9238782,-56.1610702,3.0,2.0,1.0,252.0,610000.0,2021,2,0,1,0_1,14
7G5P0QEP+z8fAPPE+Y6Uog==,2021-02-03,9999-12-31,-34.9143483,-56.1540474,1.0,2.0,1.0,43.0,120000.0,2021,2,1,1,1_1,14
X1+w8F5r+8zpESrsFOqAvw==,2021-02-03,2021-06-05,-34.8719664,-56.1624994,2.0,1.0,1.0,42.0,116000.0,2021,2,3,1,3_1,14
SIXw1upLCE7XUY87JGL7eQ==,2021-02-03,2021-05-11,-34.9102149689,-56.1500087331,2.0,1.0,1.0,54.0,139900.0,2021,2,1,1,1_1,14
9K+7U7FsJR/kwQycJE6ddw==,2021-02-03,9999-12-31,-34.883637,-56.156563,3.0,2.0,1.0,57.0,135000.0,2021,2,2,1,2_1,14
qAXrozX0wSCcthnel+6rjA==,2021-02-03,2021-05-25,-34.90549,-56.199898,3.0,2.0,1.0,52.0,130000.0,2021,2,1,0,1_0,14
Wh8Y9nJHQmwiv0os4E9H/g==,2021-02-03,2021-05-06,-34.9122357,-56.1796871,2.0,2.0,2.0,65.0,135000.0,2021,2,1,1,1_1,14
L4C9+SGZP/0LfOrc0/T60A==,2021-02-03,2021-02-10,-34.8955622,-56.1089737,5.0,4.0,2.0,68.0,480000.0,2021,2,1,3,1_3,14
bIuxLsuUi/7oRBGpKo8KFA==,2020-11-24,2021-04-26,-34.8670947,-56.0312883,3.0,3.0,2.0,68.0,750000.0,2020,11,3,5,3_5,11
ZoRHtQFBaRDjHcxWpSuyMw==,2020-11-24,2021-04-26,-34.8670947,-56.0312883,3.0,3.0,2.0,68.0,750000.0,2020,11,3,5,3_5,11
2hJBtotCAVEj8dK7CpjLHQ==,2020-11-24,2021-04-26,-34.8670947,-56.0312883,3.0,3.0,2.0,68.0,750000.0,2020,11,3,5,3_5,11
lXGkVkDpzMt6WmYst7p41Q==,2020-11-24,9999-12-31,-34.9065461046,-56.1414761751,3.0,3.0,3.0,205.0,450000.0,2020,11,1,2,1_2,11
QPdL1oKGpRvozIPb0C7THw==,2020-11-24,2021-01-21,-34.9034043,-56.1793552,5.0,3.0,2.0,167.0,295000.0,2020,11,1,1,1_1,11
4XBFvs2AQnyfsUIlY8usxA==,2021-02-16,2021-03-23,-34.9099394,-56.1350661,2.0,1.0,1.0,68.0,277000.0,2021,2,1,2,1_2,14
mU0iKqpZ/pcYR62NjwhQ0w==,2021-02-16,9999-12-31,-34.9060299,-56.1823908,3.0,2.0,2.0,62.0,135000.0,2021,2,1,1,1_1,14
aHI8x7YNQk0THLzvph6bOQ==,2021-02-16,2021-04-28,-34.9099394,-56.1350661,5.0,3.0,3.0,68.0,1250000.0,2021,2,1,2,1_2,14
KlJPsNJ1sc5Ge0LFOqkpcw==,2020-10-31,2021-03-16,-34.8938545,-56.1341668,1.0,2.0,1.0,30.0,98000.0,2020,10,2,2,2_2,10
W8bqTEDbn0TVmXPxR8WoIQ==,2020-10-31,2021-06-08,-34.9010758187,-56.1666366905,3.0,2.0,1.0,68.0,262500.0,2020,10,1,1,1_1,10
Tz/M1LWm3vVfHZ16eLOyiw==,2020-10-31,2020-11-04,-34.9118439887,-56.1866084534,3.0,2.0,1.0,75.0,213200.0,2020,10,1,0,1_0,10
XONrhN/YY6A7frOfgAOPHw==,2020-10-31,2021-06-08,-34.9056959,-56.1849407,5.0,4.0,1.0,187.0,298000.0,2020,10,1,0,1_0,10
1i+RKKUMUtfyvhUZMlsqEg==,2020-11-29,2021-02-04,-34.9182627,-56.1503264,4.0,3.0,2.0,103.0,295000.0,2020,11,0,1,0_1,11
yLrzRDBCbeRFsU8BBZ6mew==,2020-07-02,2021-06-08,-34.9142575,-56.1585206,3.0,2.0,1.0,68.0,180000.0,2020,7,1,1,1_1,7
3OLKaPaQyEIIF+vIv/MqyA==,2020-07-02,2020-12-25,-34.8943654,-56.1674397,3.0,1.0,1.0,68.0,90000.0,2020,7,1,1,1_1,7
RvJokiHFhDyBy8X5oH13tw==,2020-07-02,2020-12-25,-34.8943654,-56.1674397,3.0,1.0,1.0,68.0,90000.0,2020,7,1,1,1_1,7
6ZAYXLWu7BE9rbHNhT8CQA==,2020-07-02,2020-09-14,-34.919389,-56.1559915,3.0,3.0,2.0,156.0,475000.0,2020,7,0,1,0_1,7
6B9uiyhB14LUWK1bXoVvwg==,2020-07-02,2020-09-14,-34.919389,-56.1559915,3.0,3.0,2.0,156.0,475000.0,2020,7,0,1,0_1,7
SqYdPzr1/P3SWzuBPEDoxA==,2020-07-02,2021-06-08,-34.9142575,-56.1585206,3.0,2.0,1.0,68.0,180000.0,2020,7,1,1,1_1,7
goNWkB18lppHyM8SnhE+Ng==,2020-07-02,2020-10-07,-34.9062338,-56.1402546,1.0,2.0,1.0,35.0,89000.0,2020,7,1,2,1_2,7
hk8nNJ6URu6kjkio4F550A==,2020-07-02,2021-06-08,-34.8824535,-56.1560802,2.0,2.0,1.0,7855.0,153500.0,2020,7,2,1,2_1,7
3FdnDFh4LLmrKbAco2lwcA==,2020-07-02,2021-06-08,-34.8729215,-56.0540364,2.0,2.0,2.0,129.0,320000.0,2020,7,3,4,3_4,7
lYQneqnJv23k9RRSwgkkBg==,2020-07-02,2020-10-07,-34.9224681,-56.1536726,2.0,1.0,1.0,43.0,159000.0,2020,7,0,1,0_1,7
qANg7F4R9cStRUb7gE+qpg==,2020-07-02,2021-06-08,-34.886725,-56.1613761,3.0,2.0,1.0,55.0,89000.0,2020,7,2,1,2_1,7
aQfK7MIm/oL4QzyNDg+3mA==,2020-07-02,2021-06-08,-34.905022,-56.1286059,3.0,3.0,3.0,267.0,1040000.0,2020,7,1,2,1_2,7
rhsJQKghVgUTi88F5TY2cQ==,2020-07-02,9999-12-31,-34.8999927,-56.1667635,3.0,2.0,1.0,60.0,155000.0,2020,7,1,1,1_1,7
fW4x++pRIoRq2Yhd8q7Q/A==,2020-07-02,9999-12-31,-34.8999927,-56.1667635,3.0,2.0,1.0,60.0,153000.0,2020,7,1,1,1_1,7
SSVFJ7Cy9CmQuCwkQ8zBKA==,2020-07-02,2021-01-28,-34.9101663,-56.1586527,4.0,3.0,2.0,65.0,155000.0,2020,7,1,1,1_1,7
vsSTLPRfiITZmBE/HfaYdQ==,2020-07-02,2021-06-08,-34.9105856,-56.1480077,5.0,4.0,3.0,131.0,369000.0,2020,7,1,2,1_2,7
wanTdxH8Ddbwwc8Pva9k5Q==,2020-08-02,2020-09-23,-34.855888692,-56.2180362228,3.0,2.0,1.0,68.0,85000.0,2020,8,3,0,3_0,8
CaUv2ebMiWjt743S1sLMTg==,2020-08-02,2020-08-13,-34.9210847,-56.151529,3.0,2.0,2.0,114.0,410000.0,2020,8,0,1,0_1,8
2RH2h6rFJfS7fATxjgPx8A==,2020-08-02,2020-08-13,-34.9210847,-56.151529,4.0,3.0,2.0,194.0,575220.0,2020,8,0,1,0_1,8
