start_date,anio,mes,mes_cont,zona,rooms,bedrooms,bathrooms,surface_total,price,price_per_m2
2020-07-02,2020,7,7,1_1,3.0,2.0,1.0,68.0,180000.0,2647.0588235294117
2020-07-02,2020,7,7,1_2,1.0,2.0,1.0,35.0,89000.0,2542.8571428571427
2020-07-02,2020,7,7,2_1,2.0,2.0,1.0,7855.0,153500.0,19.54169318905156
2020-07-02,2020,7,7,3_4,2.0,2.0,2.0,129.0,320000.0,2480.6201550387595
2020-07-02,2020,7,7,0_1,2.0,1.0,1.0,43.0,159000.0,3697.6744186046512
2020-07-02,2020,7,7,2_1,3.0,2.0,1.0,55.0,89000.0,1618.1818181818182
2020-07-02,2020,7,7,1_2,3.0,3.0,3.0,267.0,1040000.0,3895.131086142322
2020-07-02,2020,7,7,1_1,3.0,2.0,1.0,60.0,155000.0,2583.3333333333335
2020-07-02,2020,7,7,1_1,3.0,2.0,1.0,60.0,153000.0,2550.0
2020-07-02,2020,7,7,1_1,4.0,3.0,2.0,65.0,155000.0,2384.6153846153848
2020-07-02,2020,7,7,1_2,5.0,4.0,3.0,131.0,369000.0,2816.793893129771
2020-08-02,2020,8,8,3_0,3.0,2.0,1.0,68.0,85000.0,1250.0
2020-08-02,2020,8,8,0_1,3.0,2.0,2.0,114.0,410000.0,3596.4912280701756
2020-08-02,2020,8,8,0_1,4.0,3.0,2.0,194.0,575220.0,2965.0515463917527
2020-08-02,2020,8,8,0_1,5.0,3.0,4.0,204.0,695000.0,3406.8627450980393
2020-07-13,2020,7,7,1_0,1.0,2.0,1.0,43.0,85652.0,1991.906976744186
2020-07-13,2020,7,7,1_0,2.0,2.0,1.0,78.0,157000.0,2012.820512820513
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,39.0,109000.0,2794.871794871795
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,35.0,105000.0,3000.0
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,39.0,110000.0,2820.5128205128203
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,39.0,111000.0,2846.153846153846
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,39.0,108000.0,2769.230769230769
